label,probe_group,Δ,x,g,E,N,cutoff_budget_exceeded,trunc_tol,ss_ilu_tau,ss_rebuild_niter,ss_converged,ss_iterations,ss_rebuilds,trace_error,hermiticity_error,liouvillian_residual,relative_liouvillian_residual,c1,c2,c3,Fano,current_check,fcs_retry,fcs_warnings,liouvillian_seconds,preconditioner_seconds,ilu_seconds,gmres_seconds,fcs_seconds,total_seconds,n,occupation_fraction,cutoff_status,cavity_boundary,cavity_tail,cavity_tail5
"fcs Δ=0.0, x=0.05",fixed g drive sweep,0.0,0.05,14.0,0.35000000000000003,150,false,0.0001,0.1,80,true,5,1,8.454921207601274e-10,1.0773212490230704e-10,1.4433557149315708e-9,4.153296561907978e-17,7.881008941184311e-7,1.5940764614953643e-6,3.242771147279334e-6,2.0226806915103133,0.9999999999999998,false,0,0.203777625,0.111424041,0.111424041,0.171730042,1.600276667,3.525527041,7.881008941184313e-7,5.254005960789542e-9,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.08",fixed g drive sweep,0.0,0.08,14.0,0.56,150,false,0.0001,0.1,80,true,10,0,1.2925216452686072e-12,4.1857489096800283e-13,2.2259212937042813e-12,6.292128619824447e-20,5.243690615884169e-6,1.07873433513547e-5,2.250595073080883e-5,2.0572043893432075,1.0000000000000007,false,0,0.16601875,0.0,0.0,0.089782459,0.23684825,0.531621625,5.243690615884166e-6,3.4957937439227774e-8,safe,3.269e-320,3.859754e-318,3.859754e-318
"fcs Δ=0.0, x=0.11",fixed g drive sweep,0.0,0.11,14.0,0.77,150,false,0.0001,0.1,80,true,12,0,2.0234924846818103e-12,1.8363063620924203e-12,1.2120064275786088e-11,3.366667553102129e-19,1.9170274797236697e-5,4.0449934973314216e-5,8.765178229511357e-5,2.1100341753653358,0.9999999999999998,false,0,0.17350375,0.0,0.0,0.060200417,0.282291708,0.52331025,1.91702747972367e-5,1.27801831981578e-7,safe,2.1557917467345104e-303,1.0267777631998959e-300,7.58873029332161e-293
"fcs Δ=0.0, x=0.14",fixed g drive sweep,0.0,0.14,14.0,0.9800000000000001,150,false,0.0001,0.1,80,true,15,0,2.6501023597802487e-12,1.6670271369903418e-12,8.299850412261367e-12,2.266269038415116e-19,5.182226587393455e-5,0.00011309358687652436,0.00025767605480279027,2.1823358158757764,1.0000000000000002,false,0,0.048148375,0.0,0.0,0.221258708,0.189075459,0.46809575,5.1822265873934535e-5,3.454817724928969e-7,safe,1.085423074296312e-284,3.943671458159167e-282,1.1842513259292562e-274
"fcs Δ=0.0, x=0.17",fixed g drive sweep,0.0,0.17,14.0,1.1900000000000002,150,false,0.0001,0.1,80,true,18,0,5.218048215738236e-12,1.6987605383949715e-12,7.2378312339801005e-12,1.9432771888209096e-19,0.00011694333494644105,0.0002662268585508033,0.0006457597322936412,2.2765458046218088,0.9999999999999998,false,0,0.184123917,0.0,0.0,0.095574208,0.347316417,0.634370167,0.00011694333494644107,7.796222329762739e-7,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.2",fixed g drive sweep,0.0,0.2,14.0,1.4000000000000001,150,false,0.0001,0.1,80,true,21,0,7.211231611847779e-12,2.3317534201404896e-12,8.757015302039557e-12,2.3126486500603774e-19,0.00023430496906413735,0.0005613707541631799,0.001467811159355889,2.395897775473611,1.0,false,0,0.019396875,0.0,0.0,0.103614208,0.430356209,0.561001792,0.00023430496906413735,1.562033127094249e-6,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.23",fixed g drive sweep,0.0,0.23,14.0,1.61,150,false,0.0001,0.1,80,true,24,0,4.891420601893515e-12,4.039950579729269e-12,1.6181905902742198e-11,4.2049234381529955e-19,0.00043196811323361977,0.0010991729784125695,0.0031368168269185126,2.5445697141494974,1.0000000000000002,false,0,0.041287417,0.0,0.0,0.260007459,0.273158667,0.581303458,0.00043196811323361966,2.8797874215574645e-6,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.26",fixed g drive sweep,0.0,0.26,14.0,1.82,150,false,0.0001,0.1,80,true,29,0,8.949507801503387e-12,3.349731631562556e-12,1.2373092948145886e-11,3.1647383022781655e-19,0.0007495720836166253,0.002044752247675551,0.006447687989966085,2.7278927435634808,0.9999999999999997,false,0,0.185176958,0.0,0.0,0.172277709,0.37170775,0.736755167,0.0007495720836166256,4.997147224110837e-6,safe,0.0,0.0,0.0
"fcs Δ=0.0, x=0.29",fixed g drive sweep,0.0,0.29,14.0,2.03,150,false,0.0001,0.1,80,true,34,0,1.06421538248469e-11,3.6582326851209314e-12,1.3859108882131873e-11,3.490556855871847e-19,0.0012431049139584563,0.003670417552482285,0.012943433571164628,2.952620902120372,1.0,false,0,0.179807583,0.0,0.0,0.21360825,0.544207167,0.946002583,0.0012431049139584563,8.287366093056376e-6,safe,0.0,0.0,4.239394084800566e-169
"fcs Δ=0.0, x=0.32",fixed g drive sweep,0.0,0.32,14.0,2.24,150,false,0.0001,0.1,80,true,39,0,1.50730539161259e-11,6.681016993473651e-12,2.4005341496589986e-11,5.955983409468492e-19,0.001991832433673444,0.006428208735774366,0.025650000079019953,3.227283895522837,1.0000000000000009,false,0,0.201949709,0.0,0.0,0.241621625,0.636845208,1.087160209,0.0019918324336734424,1.3278882891156283e-5,safe,9.098513018052021e-151,5.608053299317182e-149,9.023033104800009e-144
